timestamp,metric_name,value,dimensions
2022-01-01 00:00:00,memory_usage,16.681384200774634,"{'service': 'webserver', 'region': 'us-west-1'}"
2022-01-01 00:00:01,network_throughput,26.702124278170626,"{'service': 'worker', 'region': 'us-west-2'}"
2022-01-01 00:00:02,error_rate,43.616465758105136,"{'service': 'worker', 'region': 'us-west-2'}"
2022-01-01 00:00:03,network_throughput,16.96117263180629,"{'service': 'database', 'region': 'us-west-1'}"
2022-01-01 00:00:04,cpu_usage,16.365176516261414,"{'service': 'webserver', 'region': 'us-west-1'}"
2022-01-01 00:00:05,cpu_usage,37.7693703930941,"{'service': 'database', 'region': 'us-west-1'}"
2022-01-01 00:00:06,network_throughput,49.84316140631191,"{'service': 'webserver', 'region': 'us-east-1'}"
2022-01-01 00:00:07,error_rate,46.42134676142567,"{'service': 'database', 'region': 'us-west-1'}"
2022-01-01 00:00:08,cpu_usage,33.207460836903785,"{'service': 'webserver', 'region': 'us-west-1'}"
2022-01-01 00:00:09,network_throughput,12.569709606182595,"{'service': 'database', 'region': 'us-west-1'}"
2022-01-01 00:00:10,error_rate,41.220507770108064,"{'service': 'worker', 'region': 'us-west-2'}"
2022-01-01 00:00:11,cpu_usage,25.50755515991692,"{'service': 'database', 'region': 'us-west-1'}"
2022-01-01 00:00:12,error_rate,39.145163701690386,"{'service': 'webserver', 'region': 'us-east-1'}"
2022-01-01 00:00:13,network_throughput,78.27298105167554,"{'service': 'worker', 'region': 'us-west-2'}"
2022-01-01 00:00:14,error_rate,47.978002904137014,"{'service': 'worker', 'region': 'us-west-2'}"
2022-01-01 00:00:15,error_rate,21.68993092082664,"{'service': 'database', 'region': 'us-west-1'}"
2022-01-01 00:00:16,network_throughput,45.05169539118231,"{'service': 'webserver', 'region': 'us-west-1'}"
2022-01-01 00:00:17,cpu_usage,14.397258004667375,"{'service': 'database', 'region': 'us-west-1'}"
2022-01-01 00:00:18,network_throughput,21.567462303248753,"{'service': 'webserver', 'region': 'us-west-1'}"
2022-01-01 00:00:19,cpu_usage,24.921202557854723,"{'service': 'webserver', 'region': 'us-east-1'}"
2022-01-01 00:00:20,memory_usage,84.32383676595158,"{'service': 'webserver', 'region': 'us-west-1'}"
2022-01-01 00:00:21,error_rate,42.23947617912738,"{'service': 'webserver', 'region': 'us-east-1'}"
